period,start,end,CAGR,Sharpe,Sortino,MDD,Final,N_trades,WinRate,AvgWin,AvgLoss,ProfitFactor
EDITH FULL  2010-2024,2014-03-03,2024-12-30,0.033219982912273016,0.25849301639569905,0.27686848528314084,-0.5857104646842974,1.424565566711387,2017.0,0.27615270203272185,0.09009370456427418,-0.03265248687264511,1.0526415799659579
KOSPI FULL  2010-2024,2010-01-04,2024-12-30,0.023416776545512663,0.22510746275266869,0.29864947625022453,-0.4389786736150936,1.4146768545049344,,,,,
EDITH IS    2010-2018,2014-03-03,2018-12-28,-0.11946567297373001,-0.6310167220887112,-0.6727720825151543,-0.4877108697116179,0.541504714744501,744.0,0.271505376344086,0.07134034554932733,-0.032019650603427666,0.8303681883688394
KOSPI IS    2010-2018,2010-01-04,2018-12-28,0.02082652375813332,0.2154201988916058,0.2858331372520023,-0.25852864116000307,1.2033440635796573,,,,,
EDITH OOS_A 2019-2023,2019-01-02,2023-12-28,0.22038254021446435,0.8640766949262768,0.9069978684410935,-0.2565861800533794,2.69920990813168,987.0,0.2867274569402229,0.10015817485756286,-0.0328757793299123,1.22468421896935
KOSPI OOS_A 2019-2023,2019-01-02,2023-12-28,0.057432302929773416,0.39414722776689826,0.5410985380367326,-0.3570889844525307,1.3210348258706468,,,,,
EDITH OOS_B 2024     ,2024-01-02,2024-12-30,0.03574593456810771,0.26876508539584226,0.32234716915531053,-0.17356455836364149,1.0355218684107157,286.0,0.2517482517482518,0.10314833550897638,-0.03352070821843836,1.035303689151635
KOSPI OOS_B 2024     ,2024-01-02,2024-12-30,-0.10184513886368352,-0.4632378356076498,-0.5719558764120236,-0.18357168796582912,0.8987493492046249,,,,,
