Strategy,CAGR,Sharpe,Sortino,Calmar,MDD,Final,N_trades,WinRate,AvgWin,AvgLoss,AvgHoldDays,ProfitFactor
NewHigh52w,0.06957513784359026,0.3720782830440431,0.5092673993977946,0.17966832052333245,-0.3872421005602652,1.5358347727542545,1268,0.3675078864353312,0.10994584129822653,-0.0595699517838938,4.4495268138801265,1.0724155599450047
Momentum5,-0.031517900376389685,0.14719192336428982,0.22071585129579258,-0.0398351755017887,-0.7912077700015266,0.8152215081336157,3032,0.3924802110817942,0.07743017898936128,-0.04959600180992694,2.438654353562005,1.0086045698184638
RSIOversold,-0.024609518810024267,0.048554003370990376,0.06604900345737855,-0.03520247078979996,-0.6990849863059886,0.8530365762886498,2239,0.48637784725323807,0.043044670019702844,-0.04060806283789376,3.2652970075926753,1.0037767909290554
VolumeBreak,-0.049091182870255046,-0.02985020533269953,-0.04410506194431518,-0.07214829757730325,-0.6804205299183439,0.7253434184392039,2217,0.4258006314839874,0.06281446148499595,-0.047068493920912655,2.189445196211096,0.9896301758973156
Disparity,-0.09345499846883754,-0.22177791422422763,-0.2719627368988486,-0.1594499506080604,-0.5861086699145912,0.5347842160752485,1757,0.4371087080250427,0.05034641918964622,-0.04149203894464041,2.183836084234491,0.9422556256655967
VolBreakout,-0.16076997851428299,-0.2587540646856754,-0.39108069201980306,-0.20617838782679745,-0.7797615463427703,0.3269055779839782,4024,0.3918986083499006,0.0572300259751543,-0.03881300696406861,1.8439363817097416,0.9502642191176586
GapReversal,-0.10640001079711658,-0.7186228054496444,-0.5967631802945983,-0.19290043958550024,-0.5515799291372603,0.48790221306008724,637,0.36577708006279436,0.04793063326811077,-0.03617909334968824,1.58712715855573,0.7640645382936772
