period,start,end,CAGR,Sharpe,Sortino,MDD,Calmar,Final,N_trades,WinRate,ProfitFactor
A_break FULL  2010-2024,2014-03-07,2024-12-30,0.19872470214958304,0.9447398776677586,1.2466899533542684,-0.25234490156617373,0.7875122537297249,7.104408131685182,1322.0,0.3751891074130106,1.3005572221097417
A_break IS    2010-2018,2014-03-07,2018-12-28,0.1085956321749284,0.663526849002436,0.8741645077579699,-0.25234490156617373,0.4303460521727672,1.6420145293849278,515.0,0.3883495145631068,1.2032703231039636
A_break OOS_A 2019-2023,2019-01-02,2023-12-28,0.2819437924951085,1.1734562802974813,1.4959897042637087,-0.2290761892152079,1.230786112956653,3.449804151137555,637.0,0.3579277864992151,1.3846564605183844
A_break OOS_B 2024     ,2024-01-02,2024-12-30,0.255931965613829,0.9504338239245321,1.439689200552908,-0.16999573544375735,1.5055199175775997,1.2541701687752775,170.0,0.4,1.2790800417914963
B_near0.95 FULL  2010-2024,2014-03-07,2024-12-30,0.1045972609158432,0.5630866710348551,0.7251879675817127,-0.3975481841656787,0.26310587013586295,2.93324264935313,1387.0,0.35111751982696465,1.161281523800108
B_near0.95 IS    2010-2018,2014-03-07,2018-12-28,-0.06395951754812401,-0.2674119781268263,-0.32444901370759577,-0.38018958329838004,-0.16823058904779978,0.7276383605532852,556.0,0.3471223021582734,0.9156027587892622
B_near0.95 OOS_A 2019-2023,2019-01-02,2023-12-28,0.23902011765589903,1.0389152587948864,1.2859063423574166,-0.1962480964709723,1.2179487187599463,2.911078440422477,652.0,0.348159509202454,1.330083679210253
B_near0.95 OOS_B 2024     ,2024-01-02,2024-12-30,0.3875697056223768,1.2067160950347562,2.0306872366126005,-0.27773891758201363,1.3954461585597964,1.3847727107698893,179.0,0.3743016759776536,1.3392523851367484
B_near0.97 FULL  2010-2024,2014-03-07,2024-12-30,0.16603536867086932,0.7982387037061197,1.050216833928571,-0.3828687638584557,0.43366130733049724,5.267897205249935,1384.0,0.36416184971098264,1.2358740027077555
B_near0.97 IS    2010-2018,2014-03-07,2018-12-28,-0.02022106698394377,-0.016339479796101446,-0.020787934245818908,-0.3828687638584557,-0.05281461663302305,0.9064055673042459,555.0,0.36036036036036034,0.9919519825227557
