code,name,board,close,score,stop_pct,target_pct,max_hold,signal_date,regime,alloc_krw,shares,stop_price,target_price,ret5d
226950,올릭스,KOSDAQ,167200.0,0.27926549349655705,0.03,0.15,7,2026-06-29,STRONG_BULL,2000000.0,11,162184,192280,0.27926549349655705
141080,리가켐바이오,KOSDAQ,162900.0,0.21657953696788645,0.03,0.15,7,2026-06-29,STRONG_BULL,2000000.0,12,158013,187335,0.21657953696788645
214450,파마리서치,KOSDAQ,349000.0,0.18909710391822832,0.03,0.15,7,2026-06-29,STRONG_BULL,2000000.0,5,338530,401350,0.18909710391822832
237690,에스티팜,KOSDAQ,135000.0,0.139240506329114,0.03,0.15,7,2026-06-29,STRONG_BULL,2000000.0,14,130950,155250,0.139240506329114
0126Z0,삼성에피스홀딩스,KOSPI,468500.0,0.13575757575757574,0.03,0.15,7,2026-06-29,STRONG_BULL,2000000.0,4,454445,538775,0.13575757575757574
