code,name,board,close,score,stop_pct,target_pct,max_hold,signal_date,regime,alloc_krw,shares,stop_price,target_price,ret5d
036930,주성엔지니어링,KOSDAQ,227500.0,0.3630916716596764,0.03,0.15,7,2026-07-02,STRONG_BULL,2000000.0,8,220675,261625,0.3630916716596764
090430,아모레퍼시픽,KOSPI,119400.0,0.22210849539406352,0.03,0.15,7,2026-07-02,STRONG_BULL,2000000.0,16,115818,137310,0.22210849539406352
078930,GS,KOSPI,76900.0,0.19781931464174463,0.03,0.15,7,2026-07-02,STRONG_BULL,2000000.0,26,74593,88435,0.19781931464174463
352820,하이브,KOSPI,213500.0,0.1374533830580713,0.03,0.15,7,2026-07-02,STRONG_BULL,2000000.0,9,207095,245525,0.1374533830580713
028050,삼성E&A,KOSPI,49000.0,0.1342592592592593,0.03,0.15,7,2026-07-02,STRONG_BULL,2000000.0,40,47530,56350,0.1342592592592593
