code,entry_date,exit_date,entry_price,exit_price,shares,pnl_krw,pnl_pct,hold_days,reason
247540,2020-03-16,2020-03-17,19544.0,18566.8,102,-107550.26740668039,-0.053888817276809275,1,stop
218410,2020-03-27,2020-03-30,37904.0,36008.799999999996,52,-106337.45347888023,-0.053888817276809164,1,stop
068270,2020-03-27,2020-03-31,160996.0,170655.76,12,107657.86484798416,0.05566089861745516,2,target
068270,2020-04-03,2020-04-06,163557.0,173370.42,12,109370.40299722832,0.05566089861745538,1,target
180640,2020-04-06,2020-04-07,68400.0,72504.0,29,110535.94536120002,0.05566089861745516,1,target
003230,2020-04-09,2020-04-10,99600.0,94620.0,20,-107469.98861999996,-0.05388881727680905,1,stop
141080,2020-04-09,2020-04-10,23721.0,25144.260000000002,85,112357.31427334552,0.05566089861745538,1,target
214450,2020-04-09,2020-04-10,40400.0,38380.0,50,-108980.61094999989,-0.05388881727680905,1,stop
058470,2020-04-09,2020-04-13,15978.0,15179.099999999999,126,-108615.25614933018,-0.053888817276809164,2,stop
237690,2020-04-10,2020-04-13,37750.0,35862.5,52,-105905.41549249995,-0.05388881727680905,1,stop
196170,2020-04-10,2020-04-13,25281.0,24016.949999999997,79,-107750.47881620284,-0.053888817276809275,1,stop
028300,2020-04-09,2020-04-14,39802.0,42190.12,50,110898.1573216999,0.05566089861745516,3,target
087010,2020-04-13,2020-04-14,15481.0,14706.949999999999,123,-102731.11241999222,-0.05388881727680894,1,stop
003230,2020-04-13,2020-04-16,95600.0,101336.0,19,101218.73923880025,0.05566089861745538,2,target
263750,2020-04-14,2020-04-16,37480.0,39728.8,53,110694.2041254805,0.05566089861745538,1,target
214450,2020-04-13,2020-04-17,38500.0,40810.0,49,105125.05592050008,0.05566089861745516,3,target
180640,2020-04-16,2020-04-17,85500.0,90630.0,23,109583.0492804998,0.055660898617454935,1,target
237690,2020-04-16,2020-04-17,33500.0,35510.0,60,112007.08317,0.05566089861745516,1,target
039490,2020-04-10,2020-04-20,73000.0,74200.0,27,24226.93098000018,0.012277574016737791,5,time
