code,name,board,close,ret5d,stop_pct,target_pct,max_hold,signal_date,alloc_krw,shares,entry_ref,stop_price,target_price
336260,두산퓨얼셀,KOSPI,101500.0,0.20118343195266264,0.03,0.15,5,2026-05-22,2000000.0,19,101500.0,98455,116725
247540,에코프로비엠,KOSDAQ,217500.0,0.1417322834645669,0.03,0.15,5,2026-05-22,2000000.0,9,217500.0,210975,250125
086520,에코프로,KOSDAQ,146100.0,0.13080495356037147,0.03,0.15,5,2026-05-22,2000000.0,13,146100.0,141717,168015
