code,entry_date,exit_date,entry_price,exit_price,shares,pnl_krw,pnl_pct,hold_days,reason
000250,2020-02-04,2020-02-05,29500.0,31270.0,67,110140.2984505,0.05566089861745516,1,target
000500,2020-02-04,2020-02-05,16877.0,16286.305,118,-77658.03291461943,-0.038950219654863893,1,stop
082740,2020-02-04,2020-02-06,3184.0,3375.04,627,111247.44110145583,0.05566089861745516,2,target
028050,2020-02-04,2020-02-07,16550.0,16900.0,120,33737.1566999997,0.01696797506897285,3,time
218410,2020-02-04,2020-02-07,28538.0,30250.280000000002,70,111319.43769422057,0.05566089861745538,3,target
247540,2020-02-18,2020-02-20,20903.0,22157.18,98,114152.15812499821,0.05566089861745516,2,target
096770,2020-02-18,2020-02-21,134309.0,129608.185,15,-78560.72859208891,-0.038950219654864005,3,stop
000500,2020-02-26,2020-02-27,16506.0,15928.289999999999,126,-81100.12317554699,-0.038950219654864005,1,stop
003670,2020-02-25,2020-02-28,54768.0,52851.119999999995,37,-79020.12890209211,-0.038950219654864005,3,stop
039490,2020-02-25,2020-02-28,69500.0,67067.5,29,-78594.45928287506,-0.038950219654864005,3,stop
108490,2020-02-27,2020-02-28,10858.0,10477.97,190,-80447.50255011534,-0.038950219654864116,1,stop
005930,2020-02-27,2020-02-28,56300.0,54329.5,36,-79035.10298909992,-0.038950219654863893,1,stop
047810,2020-03-02,2020-03-05,25650.0,26650.0,77,68678.85024000006,0.03473327257917469,3,time
028300,2020-03-05,2020-03-06,36020.0,34759.299999999996,55,-77253.0306550751,-0.038950219654864005,1,stop
033780,2020-03-05,2020-03-10,81800.0,82300.0,24,3919.0371599998325,0.001993956223376836,3,time
307950,2020-03-10,2020-03-12,38100.0,36766.5,52,-77256.93015689985,-0.038950219654863893,2,stop
010170,2020-03-11,2020-03-12,2276.0,2196.34,870,-77214.81553718983,-0.038950219654863893,1,stop
001440,2020-03-16,2020-03-17,4432.0,4276.88,440,-76043.40518896002,-0.038950219654864005,1,stop
108490,2020-03-16,2020-03-17,7605.0,7338.825,256,-75918.62113056006,-0.038950219654864005,1,stop
241560,2020-03-16,2020-03-17,21700.0,20940.5,89,-75311.07874622499,-0.038950219654864005,1,stop
007660,2020-03-16,2020-03-17,2212.0,2134.58,882,-76078.65668545803,-0.038950219654864005,1,stop
336260,2020-03-16,2020-03-17,5475.0,5283.375,356,-76005.19007107499,-0.038950219654864005,1,stop
100790,2020-03-18,2020-03-19,1939.0,1871.135,967,-73116.1661539874,-0.038950219654864005,1,stop
082740,2020-03-18,2020-03-19,1992.0,1922.28,941,-73095.06984911417,-0.038950219654864005,1,stop
058610,2020-03-18,2020-03-19,4505.0,4347.325,416,-73079.78380195983,-0.038950219654863893,1,stop
131290,2020-03-18,2020-03-19,8620.0,8318.3,217,-72941.74143735552,-0.03895021965486423,1,stop
034020,2020-03-18,2020-03-19,2805.0,2706.825,668,-73066.52549575502,-0.038950219654864005,1,stop
031980,2020-03-23,2020-03-24,4700.0,4982.0,383,100310.42309169983,0.055660898617454935,1,target
043260,2020-03-23,2020-03-24,399.0,385.03499999999997,4517,-70280.05847666506,-0.038950219654864116,1,stop
083650,2020-03-23,2020-03-24,1195.0,1266.7,1508,100419.64392902027,0.05566089861745538,1,target
000500,2020-03-23,2020-03-25,8953.0,9490.18,201,100279.94156210078,0.055660898617454935,2,target
082740,2020-03-23,2020-03-25,1529.0,1620.74,1178,100369.6029535539,0.05566089861745516,2,target
058610,2020-03-24,2020-03-25,3720.0,3943.2000000000003,496,102819.15885503986,0.05566089861745516,1,target
078600,2020-03-24,2020-03-25,10450.0,11077.0,176,102489.26734640007,0.05566089861745516,1,target
214150,2020-03-24,2020-03-25,7430.0,7875.8,248,102680.96106087998,0.05566089861745516,1,target
082740,2020-03-31,2020-04-01,2046.0,1974.3899999999999,943,-75236.13032114878,-0.038950219654864116,1,stop
086790,2020-03-31,2020-04-01,23550.0,22725.75,81,-74384.94706278737,-0.038950219654863893,1,stop
042660,2020-03-31,2020-04-01,12260.0,11830.9,157,-75058.39102796512,-0.038950219654864005,1,stop
071050,2020-03-31,2020-04-01,48700.0,46995.5,39,-74063.23816222488,-0.038950219654863893,1,stop
067310,2020-03-31,2020-04-02,2825.0,2726.125,683,-75239.91283791885,-0.038950219654864005,2,stop
083650,2020-04-02,2020-04-03,1460.0,1547.6000000000001,1270,103325.14110140014,0.05566089861745516,1,target
068270,2020-04-03,2020-04-06,163557.0,173370.42,11,100256.20274745929,0.05566089861745538,1,target
010950,2020-04-13,2020-04-14,68700.0,66295.5,27,-72331.85935192485,-0.038950219654863893,1,stop
034020,2020-04-17,2020-04-20,3328.0,3527.6800000000003,565,104780.67593343998,0.05566089861745516,1,target
032820,2020-04-17,2020-04-20,814.0,862.84,2311,104827.15051421802,0.05566089861745516,1,target
086790,2020-04-17,2020-04-21,24500.0,23642.5,76,-72608.7239814999,-0.038950219654863893,2,stop
047050,2020-04-17,2020-04-21,13150.0,12689.75,143,-73328.18206821219,-0.03895021965486378,2,stop
003550,2020-04-17,2020-04-22,57341.0,58664.0,32,34691.35499680019,0.01888455717408566,3,time
003490,2020-04-22,2020-04-27,12546.0,13298.76,151,105567.84611098212,0.05566089861745516,3,target
064350,2020-04-23,2020-04-28,17800.0,18868.0,106,105141.77339560003,0.05566089861745516,3,target
010950,2020-04-29,2020-05-04,69500.0,67067.5,27,-73174.1517461252,-0.038950219654864116,1,stop
196170,2020-05-14,2020-05-15,51453.0,49652.145,37,-74237.19493863825,-0.038950219654864005,1,stop
336260,2020-05-18,2020-05-20,10008.0,10608.480000000001,191,106519.73914317624,0.05566089861745516,2,target
011200,2020-06-15,2020-06-16,5090.0,4911.849999999999,380,-75424.16429915023,-0.038950219654864116,1,stop
083650,2020-06-15,2020-06-16,2210.0,2132.65,875,-75406.61654093722,-0.03895021965486378,1,stop
267260,2020-06-15,2020-06-16,8100.0,7816.5,238,-75174.59618235007,-0.038950219654864005,1,stop
084370,2020-06-15,2020-06-16,24000.0,23160.0,80,-74870.4350399999,-0.038950219654863893,1,stop
010950,2020-06-15,2020-06-18,68500.0,67700.0,28,-30194.31127999979,-0.015724516782788633,3,time
064350,2020-06-18,2020-06-19,14150.0,14999.0,132,104082.99997260002,0.05566089861745516,1,target
003490,2020-07-28,2020-07-31,13685.0,13492.0,138,-34295.05528229987,-0.01813879373872329,3,time
145020,2020-08-03,2020-08-04,155000.0,149575.0,12,-72530.73394499999,-0.038950219654864005,1,stop
034020,2020-08-05,2020-08-06,8422.0,8127.23,221,-72579.94565803162,-0.038950219654864005,1,stop
035720,2020-08-07,2020-08-10,73863.0,71277.795,25,-72007.2258249938,-0.038950219654864005,1,stop
000500,2020-09-07,2020-09-08,21706.0,20946.29,84,-71099.77275529783,-0.038950219654863893,1,stop
272210,2020-09-07,2020-09-08,12160.0,11734.4,151,-71601.0927099199,-0.038950219654863893,1,stop
009830,2020-09-07,2020-09-08,61794.0,59631.21,29,-69880.08657447482,-0.038950219654864116,1,stop
084370,2020-09-07,2020-09-09,29100.0,28081.5,63,-71489.56695772498,-0.038950219654863893,2,stop
034020,2020-09-08,2020-09-09,14939.0,14416.135,118,-68740.49616113631,-0.038950219654863893,1,stop
336260,2020-09-08,2020-09-09,58675.0,56621.375,30,-68640.98087456264,-0.038950219654864005,1,stop
086520,2020-09-07,2020-09-10,6653.0,6780.0,276,27423.435361799784,0.014917499642145504,3,time
032820,2020-09-09,2020-09-10,965.0,1022.9000000000001,1798,96686.63173919031,0.05566089861745538,1,target
222800,2020-09-09,2020-09-10,19550.0,20723.0,88,95869.14720679983,0.055660898617454935,1,target
087010,2020-09-10,2020-09-11,20963.0,22220.780000000002,85,99293.72198103531,0.05566089861745538,1,target
001440,2020-09-10,2020-09-14,7939.0,7661.134999999999,226,-69965.40767440549,-0.038950219654864005,2,stop
071050,2020-09-10,2020-09-15,78100.0,82786.0,23,100098.66840709979,0.055660898617454935,3,target
009830,2020-09-15,2020-09-16,54780.0,52862.7,33,-70492.85429125489,-0.038950219654863893,1,stop
009830,2020-09-25,2020-09-28,45046.0,43469.39,40,-70262.78368357988,-0.038950219654863893,1,stop
000250,2020-09-25,2020-09-28,50600.0,53636.0,35,98688.82800700003,0.05566089861745516,1,target
066970,2020-09-25,2020-09-29,38471.0,40779.26,47,100758.2842496289,0.05566089861745516,2,target
319660,2020-09-25,2020-09-29,15325.0,16244.5,118,100770.15365694999,0.05566089861745516,2,target
336260,2020-10-07,2020-10-08,37383.0,39625.98,49,102075.06403833954,0.05566089861745538,1,target
214150,2020-10-19,2020-10-22,15000.0,15900.0,125,104484.21937499987,0.05566089861745516,3,target
000270,2020-10-21,2020-10-22,46550.0,44920.75,40,-72608.72398149967,-0.03895021965486378,1,stop
005380,2020-10-21,2020-10-22,167000.0,161155.0,11,-71633.8485252501,-0.038950219654864005,1,stop
307950,2020-10-21,2020-10-22,68500.0,66102.5,27,-72121.28625337477,-0.03895021965486378,1,stop
042700,2020-10-30,2020-11-04,5425.0,5625.0,341,60417.580354999984,0.032621955433994376,3,time
178320,2020-11-06,2020-11-10,21301.0,22579.06,87,103268.69176047924,0.05566089861745538,2,target
064350,2020-11-06,2020-11-11,15800.0,16050.0,118,21772.348445000127,0.011664522498815222,3,time
003670,2020-11-10,2020-11-13,74602.0,71990.93,25,-72727.65878716274,-0.038950219654864116,3,stop
180640,2020-11-17,2020-11-18,81200.0,78358.0,24,-75993.49156559957,-0.03895021965486378,1,stop
006400,2020-11-16,2020-11-19,481683.0,507139.0,3,70220.7635057997,0.04853821003933079,3,time
028300,2020-11-30,2020-12-03,41534.0,42885.0,45,52956.114554249914,0.02830092457122113,3,time
009830,2020-12-23,2020-12-28,56233.0,54264.845,33,-72362.62642132398,-0.03895021965486378,2,stop
336260,2020-12-28,2020-12-29,52400.0,50566.0,35,-71516.86347049987,-0.038950219654863893,1,stop
326030,2021-01-05,2021-01-08,155000.0,159500.0,11,42366.64052499994,0.02481992288182644,3,time
066570,2021-01-11,2021-01-12,148500.0,143302.5,12,-69489.12252149987,-0.038950219654863893,1,stop
098460,2021-01-13,2021-01-14,24399.0,23545.035,75,-71357.95877113123,-0.038950219654864005,1,stop
226950,2021-01-29,2021-02-01,48250.0,51145.0,38,102171.63531950023,0.05566089861745516,1,target
178320,2021-01-29,2021-02-01,21577.0,20821.805,85,-71518.61824632133,-0.038950219654864005,1,stop
006400,2021-01-29,2021-02-01,751897.0,725580.605,2,-58640.47447424033,-0.038950219654863893,1,stop
096770,2021-02-16,2021-02-19,281409.0,291249.0,6,51946.3249452,0.030730270127322212,3,time
307950,2021-03-02,2021-03-03,133000.0,128345.0,13,-67422.38655425026,-0.038950219654864116,1,stop
000250,2021-03-02,2021-03-03,66600.0,64269.0,27,-70120.84181715013,-0.038950219654864005,1,stop
240810,2021-03-02,2021-03-04,51800.0,49987.0,35,-70697.9680872499,-0.038950219654863893,2,stop
218410,2021-03-02,2021-03-04,37612.0,36295.58,49,-71867.35069453088,-0.038950219654863893,2,stop
000270,2021-03-02,2021-03-04,81600.0,78744.0,22,-70003.85676240013,-0.038950219654864005,2,stop
005490,2021-03-08,2021-03-09,318500.0,307352.5,5,-62099.56656312477,-0.03895021965486378,1,stop
105560,2021-03-11,2021-03-12,52100.0,50276.5,33,-67044.13487722492,-0.038950219654863893,1,stop
145020,2021-03-19,2021-03-24,170000.0,173000.0,10,22944.6185000001,0.013481328861374875,3,time
034020,2021-03-22,2021-03-24,11678.0,11269.27,150,-68307.57346852496,-0.038950219654863893,2,stop
003490,2021-03-23,2021-03-24,28250.0,27261.25,62,-68299.774464875,-0.038950219654864005,1,stop
352820,2021-04-16,2021-04-19,253500.0,244627.5,6,-59311.42275825003,-0.038950219654864005,1,stop
307950,2021-04-15,2021-04-20,120500.0,118000.0,14,-41810.48164999997,-0.02475545261990364,3,time
