code,name,board,close,score,stop_pct,target_pct,max_hold,signal_date,regime,alloc_krw,shares,stop_price,target_price,ret5d
347850,디앤디파마텍,KOSDAQ,107500.0,0.8282312925170068,0.03,0.15,7,2026-05-28,STRONG_BULL,2000000.0,18,104275,123625,0.8282312925170068
009150,삼성전기,KOSPI,1849000.0,0.7426955702167766,0.03,0.15,7,2026-05-28,STRONG_BULL,2000000.0,1,1793530,2126350,0.7426955702167766
018260,삼성에스디에스,KOSPI,248500.0,0.5078883495145632,0.03,0.15,7,2026-05-28,STRONG_BULL,2000000.0,8,241045,285775,0.5078883495145632
011070,LG이노텍,KOSPI,1134000.0,0.4921052631578948,0.03,0.15,7,2026-05-28,STRONG_BULL,2000000.0,1,1099980,1304100,0.4921052631578948
087010,펩트론,KOSDAQ,320000.0,0.36752136752136755,0.03,0.15,7,2026-05-28,STRONG_BULL,2000000.0,6,310400,368000,0.36752136752136755
