strategy,p_rsi_n,p_rsi_thresh,p_stop_pct,p_target_pct,p_max_hold,IS_CAGR,IS_Sharpe,IS_MDD,IS_PF,IS_N,IS_WR,OOS_CAGR,OOS_Sharpe,OOS_MDD,OOS_PF,OOS_N,OOS_WR,p_lookback,p_vol_mult,p_ret_thresh
RSIOversold,2.0,5.0,0.03,0.05,3,-0.10420325702436428,-0.7414243009250776,-0.47618202887124217,0.8034384550338978,758,0.41160949868073876,0.15701919843959833,0.6680796732251398,-0.24463344475603854,1.119547717006859,1041,0.4620557156580211,,,
RSIOversold,2.0,5.0,0.03,0.05,5,-0.06765295880263522,-0.4974220724170575,-0.38490857958637925,0.8429673426773827,581,0.39759036144578314,0.11295176716846167,0.5473920623008699,-0.21431664011002982,1.104967912219215,869,0.46375143843498273,,,
RSIOversold,2.0,5.0,0.03,0.05,7,-0.08176281497443516,-0.6272466825143156,-0.40162793041932765,0.8108029761494612,502,0.3884462151394422,0.057557932959838576,0.35023762013909304,-0.24575096621101333,1.082904166284113,801,0.44818976279650435,,,
RSIOversold,2.0,5.0,0.03,0.07,3,-0.09667291258822552,-0.6724479362568624,-0.49494702078316044,0.8286759709744138,725,0.4027586206896552,0.257608538264275,0.963068784431764,-0.28372298802853935,1.1930660653312428,943,0.43584305408271473,,,
RSIOversold,2.0,5.0,0.03,0.07,5,-0.009512906842179092,-0.011458961587997491,-0.2190184295438946,0.9728017852370713,517,0.39264990328820115,0.25683013856301673,0.9674989461568981,-0.2411874609071888,1.2327151753064403,748,0.4264705882352941,,,
RSIOversold,2.0,5.0,0.03,0.07,7,-0.026029089455362864,-0.15134284670870168,-0.3313020261732592,0.9362532141650467,450,0.38,0.2004482377639658,0.8153149671746946,-0.2768860726319027,1.1950140798818418,668,0.4026946107784431,,,
RSIOversold,2.0,5.0,0.03,0.1,3,-0.10893558109494461,-0.7792662915559739,-0.5328985555890232,0.8023506744041374,693,0.39826839826839827,0.2604018695593098,0.9496904841363266,-0.3167875659190523,1.215546537710187,881,0.4120317820658343,,,
RSIOversold,2.0,5.0,0.03,0.1,5,-0.030861592036135588,-0.17935936940569958,-0.2952499800559142,0.9066449665019811,482,0.3651452282157676,0.30299351989792855,1.0744165653565345,-0.28388251472137915,1.2731759180839948,662,0.3987915407854985,,,
RSIOversold,2.0,5.0,0.03,0.1,7,0.021315039143694703,0.234139225006159,-0.2336748935892129,1.0694789652967491,389,0.39331619537275064,0.21592861521590856,0.8436785887372252,-0.3086598635459479,1.2166401252022707,571,0.35376532399299476,,,
RSIOversold,2.0,5.0,0.05,0.05,3,-0.03613664563688912,-0.2010430026346003,-0.3440544216884961,0.9218106945979445,656,0.48628048780487804,-0.0010374470189579155,0.14681477373497542,-0.3755886821216601,1.0206109977526097,889,0.5050618672665916,,,
RSIOversold,2.0,5.0,0.05,0.05,5,-0.009511861097202035,-0.012267537332173731,-0.24495229769592675,0.9750837482517026,469,0.47974413646055436,0.10655035412126246,0.5110279294737871,-0.2873579966211932,1.0988898250500014,701,0.5492154065620543,,,
RSIOversold,2.0,5.0,0.05,0.05,7,-0.02687353094109468,-0.15416534352185468,-0.3477197190107376,0.9487784240381639,390,0.49743589743589745,0.13647770053482122,0.6139567685613352,-0.269567935527838,1.1471325752202417,609,0.555008210180624,,,
RSIOversold,2.0,5.0,0.05,0.07,3,-0.036534821321458355,-0.19752469540651524,-0.40452442647907727,0.9284985937357831,630,0.4714285714285714,0.04832681263929328,0.31436499702036674,-0.30291982691152963,1.067761909934036,826,0.47094430992736075,,,
RSIOversold,2.0,5.0,0.05,0.07,5,0.024829512203871307,0.25080008800513703,-0.23804224539213403,1.07507013494206,427,0.47540983606557374,0.290379371405741,1.0280556867894228,-0.3076436806438676,1.257526420153629,624,0.5064102564102564,,,
RSIOversold,2.0,5.0,0.05,0.07,7,0.009511696562980676,0.1396678946749937,-0.2788579898962409,1.0360291293445998,350,0.4742857142857143,0.12846830472238158,0.5934672270391471,-0.3243275942660999,1.148523133235839,521,0.4836852207293666,,,
RSIOversold,2.0,5.0,0.05,0.1,3,-0.03993260863371251,-0.23538187106935377,-0.39104308044552805,0.8962972507782032,603,0.45107794361525705,0.058417912272597405,0.34460792024953507,-0.33386329590553154,1.0747458538485788,768,0.45703125,,,
RSIOversold,2.0,5.0,0.05,0.1,5,0.015477397226997036,0.18320775790929822,-0.22948196720177472,1.0457768879558789,401,0.4538653366583541,0.17665371084972104,0.698705432384957,-0.346331860952676,1.166291840689963,547,0.4570383912248629,,,
RSIOversold,2.0,5.0,0.05,0.1,7,0.01824544815151441,0.20839013863072403,-0.18683316119689752,1.0864590833660563,311,0.4758842443729904,0.10511164756575209,0.4924180699597335,-0.31667178329933154,1.1378296126801761,465,0.42795698924731185,,,
RSIOversold,2.0,5.0,0.07,0.05,3,-0.031817296871735734,-0.15389973741433344,-0.33836452279737084,0.9254065552184466,632,0.5015822784810127,0.007357356391726855,0.17472442465667246,-0.34602160988274044,1.0284089449707732,833,0.5234093637454982,,,
RSIOversold,2.0,5.0,0.07,0.05,5,-0.008660393244522169,-0.0025230866665490294,-0.24338376007284568,0.986587067196978,438,0.5,0.1439290978974681,0.6283641733587215,-0.24686531215340946,1.1852489482659485,629,0.5914149443561209,,,
RSIOversold,2.0,5.0,0.07,0.05,7,-0.06045672598736851,-0.41423746199970535,-0.4087061926159249,0.8507808026292718,353,0.5127478753541076,0.14208870778582483,0.6298592524372707,-0.31442250062970967,1.1805586261910137,533,0.6135084427767354,,,
RSIOversold,2.0,5.0,0.07,0.07,3,-0.05231539142063424,-0.31664920270749436,-0.4012754893017233,0.8972238183287674,598,0.4866220735785953,0.13423137944178487,0.5816260332143511,-0.2897616270515343,1.1404057896619086,765,0.5098039215686274,,,
