Strategy,CAGR,Sharpe,Sortino,Calmar,MDD,Final,N_trades,WinRate,AvgWin,AvgLoss,AvgHoldDays,ProfitFactor
RSIOversold,0.08287786147519616,0.50278042685647,0.4770597398525978,0.25909361858497704,-0.31987612017551115,1.661839670391296,1092,0.5045787545787546,0.04345978286912968,-0.039209725940629624,3.327838827838828,1.1288807806141268
NewHigh52w,0.05025313333732284,0.3178644174934498,0.3374436531222899,0.10044880135156853,-0.5002860428512035,1.3672200907968541,804,0.35696517412935325,0.11492923630821741,-0.06007993372505986,4.059701492537314,1.0619215387314327
Momentum5,-0.021868266046044416,0.10451613651831748,0.10960080168986946,-0.03761239445179034,-0.5814111641861581,0.8684460481299389,1571,0.3851050286441757,0.08039600815741461,-0.04980012287692243,2.2686187141947802,1.0110725494488728
VolumeBreak,-0.04548245873895995,-0.10396688709519558,-0.10646822582493146,-0.09954526767803908,-0.4569022696896514,0.7430836375020469,1187,0.42375737152485254,0.06321771823315395,-0.047936141987140496,2.108677337826453,0.9698121521889105
VolBreakout,-0.11998361068577779,-0.28769929811666695,-0.296681687577406,-0.1871510995634315,-0.6411055610448684,0.44248228148047647,1984,0.38205645161290325,0.05911294326591593,-0.03962109595141933,1.7575604838709677,0.9224330071437697
Disparity,-0.08270864056523475,-0.2955031033088291,-0.25042917977144813,-0.15846074890445008,-0.5219503324139094,0.5765365863276555,974,0.43018480492813144,0.049756257676936144,-0.04170750112701684,2.1601642710472277,0.9006469401947896
GapReversal,-0.07323202441891041,-0.6775124771831184,-0.38463891212731816,-0.18590606307597812,-0.3939195054062392,0.6156044825211009,302,0.33774834437086093,0.04949388389710779,-0.03701072170406676,1.4735099337748345,0.6820153627199165
