code,n,corr_raw,corr_mcap
000500,2596,-0.05684722097489589,-0.06087418848932446
003380,1780,-0.13082760402217522,-0.13299329446851316
006730,2596,-0.1629576619744979,-0.16269519203441926
006910,2568,0.06158494354810894,0.05720333796532495
007390,2590,0.0033792333880799034,0.004918828074157224
009520,2596,0.10921795459372173,0.10622276796209792
013030,2596,-0.3887968298357531,-0.39149203406815203
014620,2596,-0.18746506759013096,-0.1842519544561422
015750,2596,-0.03068678205908534,-0.02636210707578459
018290,2339,-0.01824242997760725,-0.005766605267005111
019210,2596,-0.07373746812571935,-0.07651452826154755
023160,2596,-0.21083949041389577,-0.21311923270412217
024850,2488,0.054140222913589504,0.0533394815886065
025320,2541,-0.08391885140352628,-0.08352664525738625
025900,2581,-0.06567683820578381,-0.06932519292370175
025980,2585,-0.04535707790767864,-0.04619465980896344
027360,1441,0.019775512578267984,0.021322521657480057
030520,2596,-0.17654893892204787,-0.1763120010703159
030530,2574,-0.11243249750971743,-0.11162798841730852
031330,2596,-0.11651450042491661,-0.11735141370267078
032190,2596,-0.030537676516096963,-0.033975523630455834
032500,2596,-0.08741563865175885,-0.08072493423454324
033100,2510,0.0036558812869901397,0.003200116234652346
033160,2596,-0.03829029761845668,-0.038437306858221595
033500,2596,-0.04158235126728239,-0.04496099898274118
033640,2596,0.057641145623131065,0.056224287725215434
033790,1613,-0.09660931251496845,-0.10276057940627387
034950,2596,-0.12129340909378275,-0.11661259471187539
035760,2596,-0.29193703843854174,-0.2902747892766861
035890,2590,-0.05615424979580784,-0.05674393659264647
035900,2596,-0.04371106357074816,-0.03994121520603997
036540,2596,0.1181177325549483,0.1215357444247893
036810,2596,0.008848640588275601,0.006378363796855385
036830,2568,-0.3220731823246601,-0.32431334344321455
037460,2551,-0.07792832305813271,-0.07697957573018054
038500,2553,0.025836679231227965,0.023696777175203635
039200,2486,-0.049840995419258974,-0.05648438638070606
039440,2596,-0.12198231987735218,-0.12894483418742328
041190,2386,0.024751179526459405,0.022836271501437463
041510,2596,-0.10230749335530195,-0.10543173348398448
041830,2596,-0.0916514037212528,-0.09331841720907956
041960,2596,-0.013211253988281503,-0.009201962192563569
042000,1631,-0.1371019991688005,-0.14471228513636636
044490,2324,-0.07539903357239684,-0.07944870388170375
045100,2596,-0.012892812652249975,-0.010953341405280955
046890,2596,-0.02414726335775712,-0.029630452531025853
048410,2595,0.023128763489522527,0.022539432512692137
