code,name,board,close,score,stop_pct,target_pct,max_hold,signal_date,regime,alloc_krw,shares,stop_price,target_price,ret5d
319660,피에스케이,KOSDAQ,138200.0,0.4733475479744136,0.03,0.15,7,2026-06-09,STRONG_BULL,2000000.0,14,134054,158930,0.4733475479744136
095610,테스,KOSDAQ,161400.0,0.45013477088948783,0.03,0.15,7,2026-06-09,STRONG_BULL,2000000.0,12,156558,185610,0.45013477088948783
403870,HPSP,KOSDAQ,57000.0,0.22317596566523612,0.03,0.15,7,2026-06-09,STRONG_BULL,2000000.0,35,55290,65550,0.22317596566523612
089030,테크윙,KOSDAQ,59700.0,0.21341463414634143,0.03,0.15,7,2026-06-09,STRONG_BULL,2000000.0,33,57909,68655,0.21341463414634143
004170,신세계,KOSPI,624000.0,0.20930232558139528,0.03,0.15,7,2026-06-09,STRONG_BULL,2000000.0,3,605280,717600,0.20930232558139528
